City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,greenville,35.6127,-77.3663,23.41,86,0,2.06,US,1715303962
141,pudozh,61.8099,36.5345,-1.7,75,31,3.58,RU,1715303962
142,kaa-khem,51.6833,94.7333,10.23,37,100,1.82,RU,1715303963
143,princeville,45.7668,-61.2985,4.95,95,100,4.63,CA,1715303963
144,abra pampa,-22.7205,-65.697,13.81,18,100,1.96,AR,1715303964
145,kerikeri,-35.2268,173.9474,15.67,41,2,4.67,NZ,1715303964
146,halden,59.1226,11.3871,10.29,76,0,3.62,NO,1715303965
147,kijang,35.2442,129.2139,20.85,54,6,3.57,KR,1715303965
148,bamboo flat,11.7,92.7167,29.61,71,45,1.54,IN,1715303966
149,lerwick,60.1545,-1.1494,9.0,87,100,5.47,GB,1715303966
150,siwa oasis,29.2041,25.5195,25.01,33,99,7.3,EG,1715303967
151,daye,30.0833,114.95,22.84,61,100,2.8,CN,1715303968
152,macau,22.2006,113.5461,26.51,78,40,7.2,MO,1715303968
153,daru,-9.0763,143.2092,26.94,89,94,6.19,PG,1715303969
154,hawaiian paradise park,19.5933,-154.9731,25.73,80,75,5.14,US,1715303969
155,biryusinsk,55.9634,97.8235,7.22,60,88,1.57,RU,1715303970
156,st. john's,47.5649,-52.7093,4.82,88,75,2.06,CA,1715303915
157,viedma,-40.8135,-62.9967,9.29,40,23,4.28,AR,1715303971
158,abbeville,50.1,1.8333,10.98,92,19,2.2,FR,1715303971
159,nantucket,41.2835,-70.0995,11.08,93,0,2.57,US,1715303673
160,plymouth,41.8334,-70.8328,11.9,81,0,3.09,US,1715303972
161,loen,7.7601,168.2307,27.96,85,100,7.71,MH,1715303973
162,belomorsk,64.5232,34.7668,-4.43,87,12,4.1,RU,1715303973
163,puerto rosario,-24.45,-57.0833,17.51,96,37,1.33,PY,1715303974
164,villa del totoral,-30.8167,-63.7167,8.86,47,100,2.27,AR,1715303974
165,egilsstadir,65.2653,-14.3948,1.95,87,0,1.03,IS,1715303975
166,yoakum,29.2878,-97.1519,29.45,75,52,4.17,US,1715303975
167,cururupu,-1.8283,-44.8683,24.65,92,99,0.42,BR,1715303976
168,port elizabeth,-33.918,25.5701,15.17,96,75,4.63,ZA,1715303976
169,cidade velha,14.9167,-23.6167,24.26,60,0,5.66,CV,1715303977
170,isangel,-19.55,169.2667,26.06,61,75,4.63,VU,1715303977
171,nueva gerona,21.8833,-82.8,28.2,72,82,3.59,CU,1715303978
172,north shore,-36.8,174.75,15.26,64,0,6.26,NZ,1715303978
173,utrik,11.2278,169.8474,27.25,80,87,8.46,MH,1715303979
